X [m],Y [m],Z [m],Heat Transfer Coefficient [W/m^2/K]
0.0025,0.0495,0,2.153266098
0.0025,0.0495,0.003,1.762485209
0.0025,0.0505,0,2.093992509
0.0025,0.0505,0.003,1.72339277
0.0025,0.0515,0,2.078417974
0.0025,0.0515,0.003,1.704283691
0.0025,0.0525,0,2.100228517
0.0025,0.0525,0.003,1.702270621
0.0025,0.0535,0,2.122039061
0.0025,0.0535,0.003,1.700257552
0.0025,0.0545,0,2.143849604
0.0025,0.0545,0.003,1.698244483
0.0025,0.0555,0,2.199683824
0.0025,0.0555,0.003,1.752049157
0.0025,0.0565,0,2.276465718
0.0025,0.0565,0.003,1.840219659
0.0025,0.0575,0,2.353247611
0.0025,0.0575,0.003,1.928390161
0.0025,0.0585,0,2.430029504
0.0025,0.0585,0.003,2.016560663
0.0025,0.0595,0,2.510988772
0.0025,0.0595,0.003,2.143833352
0.0025,0.0605,0,2.593747438
0.0025,0.0605,0.003,2.287949261
0.0025,0.0615,0,2.676506105
0.0025,0.0615,0.003,2.432065169
0.0025,0.0625,0,2.759264771
0.0025,0.0625,0.003,2.576181077
0.0025,0.0635,0,2.833287751
0.0025,0.0635,0.003,2.676632484
0.0025,0.0645,0,2.904831502
0.0025,0.0645,0.003,2.764691703
0.0025,0.0655,0,2.976375254
0.0025,0.0655,0.003,2.852750923
0.0025,0.0665,0,3.047919005
0.0025,0.0665,0.003,2.940810143
0.0025,0.0675,0,3.104292877
0.0025,0.0675,0.003,2.927041254
0.0025,0.0685,0,3.158175355
0.0025,0.0685,0.003,2.896548848
0.0025,0.0695,0,3.212057834
0.0025,0.0695,0.003,2.866056441
0.0025,0.0705,0,3.265940313
0.0025,0.0705,0.003,2.835564035
0.0025,0.0715,0,3.32136884
0.0025,0.0715,0.003,2.740670782
0.0025,0.0725,0,3.376897917
0.0025,0.0725,0.003,2.641589106
0.0025,0.0735,0,3.432426993
0.0025,0.0735,0.003,2.54250743
0.0025,0.0745,0,3.488078652
0.0025,0.0745,0.003,2.443637014
0.0025,0.0755,0,3.550081664
0.0025,0.0755,0.003,2.355712649
0.0025,0.0765,0,3.612084676
0.0025,0.0765,0.003,2.267788284
0.0025,0.0775,0,3.674087688
0.0025,0.0775,0.003,2.179863919
0.0025,0.0785,0,3.735590792
0.0025,0.0785,0.003,2.098486803
0.0025,0.0795,0,3.792540896
0.0025,0.0795,0.003,2.076739901
0.0025,0.0805,0,3.849490999
0.0025,0.0805,0.003,2.054993
0.0025,0.0815,0,3.906441103
0.0025,0.0815,0.003,2.033246098
0.0025,0.0825,0,3.96441434
0.0025,0.0825,0.003,2.023451444
0.0025,0.0835,0,4.027082353
0.0025,0.0835,0.003,2.068501239
0.0025,0.0845,0,4.089750367
0.0025,0.0845,0.003,2.113551033
0.0025,0.0855,0,4.15241838
0.0025,0.0855,0.003,2.158600828
0.0025,0.0865,0,4.222379809
0.0025,0.0865,0.003,2.214557921
0.0025,0.0875,0,4.313214826
0.0025,0.0875,0.003,2.301731451
0.0025,0.0885,0,4.404049844
0.0025,0.0885,0.003,2.388904982
0.0025,0.0895,0,4.494884862
0.0025,0.0895,0.003,2.476078513
0.0025,0.0905,0,4.624113352
0.0025,0.0905,0.003,2.560249679
0.0025,0.0915,0,4.828225263
0.0025,0.0915,0.003,2.638564972
0.0025,0.0925,0,5.032337174
0.0025,0.0925,0.003,2.716880264
0.0025,0.0935,0,5.236449085
0.0025,0.0935,0.003,2.795195557
0.0025,0.0945,0,6.511360192
0.0025,0.0945,0.003,3.389136099
0.0025,0.0955,0,9.271476983
0.0025,0.0955,0.003,4.698252328
0.0025,0.0965,0,12.03159377
0.0025,0.0965,0.003,6.007368556
0.0025,0.0975,0,14.79171056
0.0025,0.0975,0.003,7.316484785
0.0025,0.0985,0,16.66520197
0.0025,0.0985,0.003,8.212295045
0.0025,0.0995,0,17.64828191
0.0025,0.0995,0.003,8.693034435
0.0035,0.0005,0,6.432139606
0.0035,0.0005,0.003,2.051840023
0.0035,0.0015,0,6.422910615
0.0035,0.0015,0.003,2.114877975
0.0035,0.0025,0,6.413681625
0.0035,0.0025,0.003,2.177915927
0.0035,0.0035,0,6.404452634
0.0035,0.0035,0.003,2.240953879
0.0035,0.0045,0,6.374714068
